--- scanner 0 ---
-757,414,492
-593,762,-478
-608,779,-508
-761,323,468
-583,-536,626
539,660,453
745,-932,544
419,509,439
62,-24,118
338,-793,-584
-775,808,-521
708,771,-798
-90,-99,12
400,-811,-639
850,-816,468
715,652,-760
-820,276,460
737,-883,437
716,659,-718
-619,-458,-521
-551,-451,-643
477,574,399
-653,-464,-508
-596,-505,704
438,-706,-637
-589,-621,598

--- scanner 1 ---
530 , 386 , 481
-748 , -568 , 822
-41 , -56 , 78
-672 , 653 , 837
698 , 825 , -465
683 , 842 , -495
-717 , -517 , -321
638 , -401 , -495
695 , -442 , 717
-361 , 661 , -765
702 , -558 , 611
516 , 871 , -508
471 , 339 , 473
-450 , 709 , -772
-741 , -441 , -376
534 , 477 , 505
740 , -388 , -630
708 , -473 , 639
-807 , 528 , 845
-777 , 610 , 763
-645 , -583 , 809
-734 , -502 , -587
672 , -395 , -508
116 , 37 , -6
-471 , 623 , -735
-757 , -505 , 810

--- scanner 2 ---
-695 , 810 , 364
-642 , -453 , 483
745 , 441 , -960
743 , 394 , 235
15 , 14 , -139
-452 , -536 , -639
635 , -646 , 652
810 , -549 , -702
700 , -505 , -762
-453 , -569 , -534
621 , 431 , -860
695 , -604 , 501
-510 , -384 , 489
-706 , 596 , 370
-536 , -405 , 388
-628 , 625 , 402
633 , -465 , 540
802 , -390 , -735
606 , 539 , -923
578 , 459 , 271
105 , 130 , -2
-517 , 542 , -596
-571 , 529 , -576
-486 , -473 , -440
654 , 514 , 315
-443 , 618 , -634

--- scanner 3 ---
526 , -812 , 776
-879 , -447 , -691
-88 , 2 , -14
613 , 853 , 699
612 , -868 , 712
-793 , 746 , 620
681 , 860 , 577
498 , -491 , -660
701 , 529 , -302
-814 , -502 , -567
-613 , 540 , -383
-628 , -445 , 447
-810 , -355 , -596
351 , -403 , -685
-800 , 807 , 831
43 , 33 , 159
-776 , 731 , 886
-616 , -583 , 432
-553 , 582 , -534
816 , 602 , -250
-485 , -471 , 398
622 , -872 , 827
778 , 568 , -372
461 , -377 , -620
-615 , 721 , -495
579 , 847 , 712

--- scanner 4 ---
-722 , -383 , -542
-598 , 703 , 879
579 , 587 , -459
707 , -424 , 322
564 , -398 , 371
1 , 113 , 1
639 , 629 , -610
313 , -400 , -767
378 , -455 , -643
-619 , 777 , 869
382 , -308 , -672
399 , 793 , 544
576 , -536 , 356
-592 , 828 , -723
-592 , -389 , -498
577 , 768 , -571
392 , 854 , 755
-516 , -621 , 489
-432 , -611 , 512
-566 , 849 , -622
-655 , -443 , -593
-624 , 753 , 753
416 , 778 , 810
-698 , 780 , -628
-372 , -654 , 590

--- scanner 5 ---
674 , -398 , -366
-574 , -495 , -646
712 , 775 , -810
616 , -664 , 776
-499 , -484 , -709
-832 , 519 , -538
513 , 601 , 851
736 , -449 , -330
477 , 488 , 832
-549 , -531 , -754
704 , -421 , -534
-756 , 371 , -589
-699 , -884 , 769
698 , 801 , -742
-351 , 427 , 608
-920 , 401 , -616
527 , -723 , 821
42 , -32 , 149
-702 , -638 , 775
-337 , 535 , 576
560 , -579 , 750
-658 , -756 , 717
708 , 837 , -632
-44 , 105 , 18
294 , 581 , 824
-374 , 539 , 538

--- scanner 6 ---
-670 , -858 , -706
342 , 641 , -376
405 , -344 , 867
-768 , -416 , 540
-591 , 863 , -518
-711 , 845 , -414
-776 , -579 , 509
281 , 466 , 922
-464 , 728 , 713
378 , -541 , -352
288 , -625 , -342
287 , -439 , 929
-757 , -659 , 508
-18 , -81 , 130
-577 , -840 , -685
371 , 552 , 842
-550 , 837 , -433
-523 , 877 , 701
303 , -402 , -376
247 , 631 , 928
-659 , 773 , 686
333 , 704 , -388
445 , 626 , -389
-433 , -834 , -677
358 , -351 , 840

--- scanner 7 ---
608 , -662 , -491
421 , -395 , 723
-537 , -400 , -654
801 , 707 , 334
716 , 378 , -908
606 , -481 , -603
691 , 669 , 364
-722 , 794 , -779
712 , 755 , 327
551 , 443 , -872
64 , 119 , -13
